Values, R:100000C:6e-05E:12
Time,Vc
2.052, 3.47582
2.0522, 3.47611
2.0524, 3.47639
2.0526, 3.47667
2.0528, 3.47696
2.053, 3.47724
2.0532, 3.47753
2.0534, 3.47781
2.0536, 3.47809
2.0538, 3.47838
2.054, 3.47866
2.0542, 3.47895
2.0544, 3.47923
2.0546, 3.47951
2.0548, 3.4798
2.055, 3.48008
2.0552, 3.48037
2.0554, 3.48065
2.0556, 3.48093
2.0558, 3.48122
2.056, 3.4815
2.0562, 3.48179
2.0564, 3.48207
2.0566, 3.48235
2.0568, 3.48264
2.057, 3.48292
2.0572, 3.48321
2.0574, 3.48349
2.0576, 3.48377
2.0578, 3.48406
2.058, 3.48434
2.0582, 3.48463
2.0584, 3.48491
2.0586, 3.48519
2.0588, 3.48548
2.059, 3.48576
2.0592, 3.48604
2.0594, 3.48633
2.0596, 3.48661
2.0598, 3.4869
2.06, 3.48718
2.0602, 3.48746
2.0604, 3.48775
2.0606, 3.48803
2.0608, 3.48831
2.061, 3.4886
2.0612, 3.48888
2.0614, 3.48917
2.0616, 3.48945
2.0618, 3.48973
2.062, 3.49002
2.0622, 3.4903
2.0624, 3.49058
2.0626, 3.49087
2.0628, 3.49115
2.063, 3.49143
2.0632, 3.49172
2.0634, 3.492
2.0636, 3.49229
2.0638, 3.49257
2.064, 3.49285
2.0642, 3.49314
2.0644, 3.49342
2.0646, 3.4937
2.0648, 3.49399
2.065, 3.49427
2.0652, 3.49455
2.0654, 3.49484
2.0656, 3.49512
2.0658, 3.4954
2.066, 3.49569
2.0662, 3.49597
2.0664, 3.49626
2.0666, 3.49654
2.0668, 3.49682
2.067, 3.49711
2.0672, 3.49739
2.0674, 3.49767
2.0676, 3.49796
2.0678, 3.49824
2.068, 3.49852
2.0682, 3.49881
2.0684, 3.49909
2.0686, 3.49937
2.0688, 3.49966
2.069, 3.49994
2.0692, 3.50022
2.0694, 3.50051
2.0696, 3.50079
2.0698, 3.50107
2.07, 3.50136
2.0702, 3.50164
2.0704, 3.50192
2.0706, 3.50221
2.0708, 3.50249
2.071, 3.50277
2.0712, 3.50306
2.0714, 3.50334
2.0716, 3.50362
2.0718, 3.5039
2.072, 3.50419
2.0722, 3.50447
2.0724, 3.50475
2.0726, 3.50504
2.0728, 3.50532
2.073, 3.5056
2.0732, 3.50589
2.0734, 3.50617
2.0736, 3.50645
2.0738, 3.50674
2.074, 3.50702
2.0742, 3.5073
2.0744, 3.50759
2.0746, 3.50787
2.0748, 3.50815
2.075, 3.50844
2.0752, 3.50872
2.0754, 3.509
2.0756, 3.50928
2.0758, 3.50957
2.076, 3.50985
2.0762, 3.51013
2.0764, 3.51042
2.0766, 3.5107
2.0768, 3.51098
2.077, 3.51127
2.0772, 3.51155
2.0774, 3.51183
2.0776, 3.51211
2.0778, 3.5124
2.078, 3.51268
2.0782, 3.51296
2.0784, 3.51325
2.0786, 3.51353
2.0788, 3.51381
2.079, 3.51409
2.0792, 3.51438
2.0794, 3.51466
2.0796, 3.51494
2.0798, 3.51523
2.08, 3.51551
2.0802, 3.51579
2.0804, 3.51607
2.0806, 3.51636
2.0808, 3.51664
2.081, 3.51692
2.0812, 3.51721
2.0814, 3.51749
2.0816, 3.51777
2.0818, 3.51805
2.082, 3.51834
2.0822, 3.51862
2.0824, 3.5189
2.0826, 3.51918
2.0828, 3.51947
2.083, 3.51975
2.0832, 3.52003
2.0834, 3.52031
2.0836, 3.5206
2.0838, 3.52088
2.084, 3.52116
2.0842, 3.52145
2.0844, 3.52173
2.0846, 3.52201
2.0848, 3.52229
2.085, 3.52258
2.0852, 3.52286
2.0854, 3.52314
2.0856, 3.52342
2.0858, 3.52371
2.086, 3.52399
2.0862, 3.52427
2.0864, 3.52455
2.0866, 3.52484
2.0868, 3.52512
2.087, 3.5254
2.0872, 3.52568
2.0874, 3.52597
2.0876, 3.52625
2.0878, 3.52653
2.088, 3.52681
2.0882, 3.5271
2.0884, 3.52738
2.0886, 3.52766
2.0888, 3.52794
2.089, 3.52823
2.0892, 3.52851
2.0894, 3.52879
2.0896, 3.52907
2.0898, 3.52936
2.09, 3.52964
2.0902, 3.52992
2.0904, 3.5302
2.0906, 3.53048
2.0908, 3.53077
2.091, 3.53105
2.0912, 3.53133
2.0914, 3.53161
2.0916, 3.5319
2.0918, 3.53218
2.092, 3.53246
2.0922, 3.53274
2.0924, 3.53302
2.0926, 3.53331
2.0928, 3.53359
2.093, 3.53387
2.0932, 3.53415
2.0934, 3.53444
2.0936, 3.53472
2.0938, 3.535
2.094, 3.53528
2.0942, 3.53556
2.0944, 3.53585
2.0946, 3.53613
2.0948, 3.53641
2.095, 3.53669
2.0952, 3.53698
2.0954, 3.53726
2.0956, 3.53754
2.0958, 3.53782
2.096, 3.5381
2.0962, 3.53839
2.0964, 3.53867
2.0966, 3.53895
2.0968, 3.53923
2.097, 3.53951
2.0972, 3.5398
2.0974, 3.54008
2.0976, 3.54036
2.0978, 3.54064
2.098, 3.54092
2.0982, 3.54121
2.0984, 3.54149
2.0986, 3.54177
2.0988, 3.54205
2.099, 3.54233
2.0992, 3.54262
2.0994, 3.5429
2.0996, 3.54318
2.0998, 3.54346
2.1, 3.54374
2.1002, 3.54402
2.1004, 3.54431
2.1006, 3.54459
2.1008, 3.54487
2.101, 3.54515
2.1012, 3.54543
2.1014, 3.54572
2.1016, 3.546
2.1018, 3.54628
2.102, 3.54656
2.1022, 3.54684
2.1024, 3.54712
2.1026, 3.54741
2.1028, 3.54769
2.103, 3.54797
2.1032, 3.54825
2.1034, 3.54853
2.1036, 3.54882
2.1038, 3.5491
2.104, 3.54938
2.1042, 3.54966
2.1044, 3.54994
2.1046, 3.55022
2.1048, 3.55051
2.105, 3.55079
2.1052, 3.55107
2.1054, 3.55135
2.1056, 3.55163
2.1058, 3.55191
2.106, 3.55219
2.1062, 3.55248
2.1064, 3.55276
2.1066, 3.55304
2.1068, 3.55332
2.107, 3.5536
2.1072, 3.55388
2.1074, 3.55417
2.1076, 3.55445
2.1078, 3.55473
2.108, 3.55501
2.1082, 3.55529
2.1084, 3.55557
2.1086, 3.55585
2.1088, 3.55614
2.109, 3.55642
2.1092, 3.5567
2.1094, 3.55698
2.1096, 3.55726
2.1098, 3.55754
2.11, 3.55782
2.1102, 3.55811
2.1104, 3.55839
2.1106, 3.55867
2.1108, 3.55895
2.111, 3.55923
2.1112, 3.55951
2.1114, 3.55979
2.1116, 3.56008
2.1118, 3.56036
2.112, 3.56064
2.1122, 3.56092
2.1124, 3.5612
2.1126, 3.56148
2.1128, 3.56176
2.113, 3.56204
2.1132, 3.56233
2.1134, 3.56261
2.1136, 3.56289
2.1138, 3.56317
2.114, 3.56345
2.1142, 3.56373
2.1144, 3.56401
2.1146, 3.56429
2.1148, 3.56458
2.115, 3.56486
2.1152, 3.56514
2.1154, 3.56542
2.1156, 3.5657
2.1158, 3.56598
2.116, 3.56626
2.1162, 3.56654
2.1164, 3.56683
2.1166, 3.56711
2.1168, 3.56739
2.117, 3.56767
2.1172, 3.56795
2.1174, 3.56823
2.1176, 3.56851
2.1178, 3.56879
2.118, 3.56907
2.1182, 3.56935
2.1184, 3.56964
2.1186, 3.56992
2.1188, 3.5702
2.119, 3.57048
2.1192, 3.57076
2.1194, 3.57104
2.1196, 3.57132
2.1198, 3.5716
2.12, 3.57188
2.1202, 3.57216
2.1204, 3.57245
2.1206, 3.57273
2.1208, 3.57301
2.121, 3.57329
2.1212, 3.57357
2.1214, 3.57385
2.1216, 3.57413
2.1218, 3.57441
2.122, 3.57469
2.1222, 3.57497
2.1224, 3.57525
2.1226, 3.57553
2.1228, 3.57582
2.123, 3.5761
2.1232, 3.57638
2.1234, 3.57666
2.1236, 3.57694
2.1238, 3.57722
2.124, 3.5775
2.1242, 3.57778
2.1244, 3.57806
2.1246, 3.57834
2.1248, 3.57862
2.125, 3.5789
2.1252, 3.57918
2.1254, 3.57947
2.1256, 3.57975
2.1258, 3.58003
2.126, 3.58031
2.1262, 3.58059
2.1264, 3.58087
2.1266, 3.58115
2.1268, 3.58143
2.127, 3.58171
2.1272, 3.58199
2.1274, 3.58227
2.1276, 3.58255
2.1278, 3.58283
2.128, 3.58311
2.1282, 3.58339
2.1284, 3.58367
2.1286, 3.58396
2.1288, 3.58424
2.129, 3.58452
2.1292, 3.5848
2.1294, 3.58508
2.1296, 3.58536
2.1298, 3.58564
2.13, 3.58592
2.1302, 3.5862
2.1304, 3.58648
2.1306, 3.58676
2.1308, 3.58704
2.131, 3.58732
2.1312, 3.5876
2.1314, 3.58788
2.1316, 3.58816
2.1318, 3.58844
2.132, 3.58872
2.1322, 3.589
2.1324, 3.58928
2.1326, 3.58956
2.1328, 3.58984
2.133, 3.59012
2.1332, 3.5904
2.1334, 3.59069
2.1336, 3.59097
2.1338, 3.59125
2.134, 3.59153
2.1342, 3.59181
2.1344, 3.59209
2.1346, 3.59237
2.1348, 3.59265
2.135, 3.59293
2.1352, 3.59321
2.1354, 3.59349
2.1356, 3.59377
2.1358, 3.59405
2.136, 3.59433
2.1362, 3.59461
2.1364, 3.59489
2.1366, 3.59517
2.1368, 3.59545
2.137, 3.59573
2.1372, 3.59601
2.1374, 3.59629
2.1376, 3.59657
2.1378, 3.59685
2.138, 3.59713
2.1382, 3.59741
2.1384, 3.59769
2.1386, 3.59797
2.1388, 3.59825
2.139, 3.59853
2.1392, 3.59881
2.1394, 3.59909
2.1396, 3.59937
2.1398, 3.59965
2.14, 3.59993
2.1402, 3.60021
2.1404, 3.60049
2.1406, 3.60077
2.1408, 3.60105
2.141, 3.60133
2.1412, 3.60161
2.1414, 3.60189
2.1416, 3.60217
2.1418, 3.60245
2.142, 3.60273
2.1422, 3.60301
2.1424, 3.60329
2.1426, 3.60357
2.1428, 3.60385
2.143, 3.60413
2.1432, 3.60441
2.1434, 3.60469
2.1436, 3.60497
2.1438, 3.60525
2.144, 3.60553
2.1442, 3.60581
2.1444, 3.60609
2.1446, 3.60637
2.1448, 3.60665
2.145, 3.60693
2.1452, 3.60721
2.1454, 3.60749
2.1456, 3.60777
2.1458, 3.60805
2.146, 3.60833
2.1462, 3.60861
2.1464, 3.60889
2.1466, 3.60917
2.1468, 3.60945
2.147, 3.60972
2.1472, 3.61
2.1474, 3.61028
2.1476, 3.61056
2.1478, 3.61084
2.148, 3.61112
2.1482, 3.6114
2.1484, 3.61168
2.1486, 3.61196
2.1488, 3.61224
2.149, 3.61252
2.1492, 3.6128
2.1494, 3.61308
2.1496, 3.61336
2.1498, 3.61364
2.15, 3.61392
2.1502, 3.6142
2.1504, 3.61448
2.1506, 3.61476
2.1508, 3.61504
2.151, 3.61532
2.1512, 3.6156
2.1514, 3.61588
2.1516, 3.61615
2.1518, 3.61643
2.152, 3.61671
2.1522, 3.61699
2.1524, 3.61727
2.1526, 3.61755
2.1528, 3.61783
2.153, 3.61811
2.1532, 3.61839
2.1534, 3.61867
2.1536, 3.61895
2.1538, 3.61923
2.154, 3.61951
2.1542, 3.61979
2.1544, 3.62007
2.1546, 3.62035
2.1548, 3.62063
2.155, 3.6209
2.1552, 3.62118
2.1554, 3.62146
2.1556, 3.62174
2.1558, 3.62202
2.156, 3.6223
2.1562, 3.62258
2.1564, 3.62286
2.1566, 3.62314
2.1568, 3.62342
2.157, 3.6237
2.1572, 3.62398
2.1574, 3.62426
2.1576, 3.62453
2.1578, 3.62481
2.158, 3.62509
2.1582, 3.62537
2.1584, 3.62565
2.1586, 3.62593
2.1588, 3.62621
2.159, 3.62649
2.1592, 3.62677
2.1594, 3.62705
2.1596, 3.62733
2.1598, 3.62761
2.16, 3.62788
2.1602, 3.62816
2.1604, 3.62844
2.1606, 3.62872
2.1608, 3.629
2.161, 3.62928
2.1612, 3.62956
2.1614, 3.62984
2.1616, 3.63012
2.1618, 3.6304
2.162, 3.63067
2.1622, 3.63095
2.1624, 3.63123
2.1626, 3.63151
2.1628, 3.63179
2.163, 3.63207
2.1632, 3.63235
2.1634, 3.63263
2.1636, 3.63291
2.1638, 3.63318
2.164, 3.63346
2.1642, 3.63374
2.1644, 3.63402
2.1646, 3.6343
2.1648, 3.63458
2.165, 3.63486
2.1652, 3.63514
2.1654, 3.63542
2.1656, 3.63569
2.1658, 3.63597
2.166, 3.63625
2.1662, 3.63653
2.1664, 3.63681
2.1666, 3.63709
2.1668, 3.63737
2.167, 3.63765
2.1672, 3.63792
2.1674, 3.6382
2.1676, 3.63848
2.1678, 3.63876
2.168, 3.63904
2.1682, 3.63932
2.1684, 3.6396
2.1686, 3.63988
2.1688, 3.64015
2.169, 3.64043
2.1692, 3.64071
2.1694, 3.64099
2.1696, 3.64127
2.1698, 3.64155
2.17, 3.64183
2.1702, 3.6421
2.1704, 3.64238
2.1706, 3.64266
2.1708, 3.64294
2.171, 3.64322
2.1712, 3.6435
2.1714, 3.64378
2.1716, 3.64405
2.1718, 3.64433
2.172, 3.64461
2.1722, 3.64489
2.1724, 3.64517
2.1726, 3.64545
2.1728, 3.64573
2.173, 3.646
2.1732, 3.64628
2.1734, 3.64656
2.1736, 3.64684
2.1738, 3.64712
2.174, 3.6474
2.1742, 3.64767
2.1744, 3.64795
2.1746, 3.64823
2.1748, 3.64851
2.175, 3.64879
2.1752, 3.64907
2.1754, 3.64934
2.1756, 3.64962
2.1758, 3.6499
2.176, 3.65018
2.1762, 3.65046
2.1764, 3.65074
2.1766, 3.65101
2.1768, 3.65129
2.177, 3.65157
2.1772, 3.65185
2.1774, 3.65213
2.1776, 3.65241
2.1778, 3.65268
2.178, 3.65296
2.1782, 3.65324
2.1784, 3.65352
2.1786, 3.6538
2.1788, 3.65408
2.179, 3.65435
2.1792, 3.65463
2.1794, 3.65491
2.1796, 3.65519
2.1798, 3.65547
2.18, 3.65574
2.1802, 3.65602
2.1804, 3.6563
2.1806, 3.65658
2.1808, 3.65686
2.181, 3.65714
2.1812, 3.65741
2.1814, 3.65769
2.1816, 3.65797
2.1818, 3.65825
2.182, 3.65853
2.1822, 3.6588
2.1824, 3.65908
2.1826, 3.65936
2.1828, 3.65964
2.183, 3.65992
2.1832, 3.66019
2.1834, 3.66047
2.1836, 3.66075
2.1838, 3.66103
2.184, 3.66131
2.1842, 3.66158
2.1844, 3.66186
2.1846, 3.66214
2.1848, 3.66242
2.185, 3.6627
2.1852, 3.66297
2.1854, 3.66325
2.1856, 3.66353
2.1858, 3.66381
2.186, 3.66408
2.1862, 3.66436
2.1864, 3.66464
2.1866, 3.66492
2.1868, 3.6652
2.187, 3.66547
2.1872, 3.66575
2.1874, 3.66603
2.1876, 3.66631
2.1878, 3.66659
2.188, 3.66686
2.1882, 3.66714
2.1884, 3.66742
2.1886, 3.6677
2.1888, 3.66797
2.189, 3.66825
2.1892, 3.66853
2.1894, 3.66881
2.1896, 3.66908
2.1898, 3.66936
2.19, 3.66964
2.1902, 3.66992
2.1904, 3.6702
2.1906, 3.67047
2.1908, 3.67075
2.191, 3.67103
2.1912, 3.67131
2.1914, 3.67158
2.1916, 3.67186
2.1918, 3.67214
2.192, 3.67242
2.1922, 3.67269
2.1924, 3.67297
2.1926, 3.67325
2.1928, 3.67353
2.193, 3.6738
2.1932, 3.67408
2.1934, 3.67436
2.1936, 3.67464
2.1938, 3.67491
2.194, 3.67519
2.1942, 3.67547
2.1944, 3.67575
2.1946, 3.67602
2.1948, 3.6763
2.195, 3.67658
2.1952, 3.67686
2.1954, 3.67713
2.1956, 3.67741
2.1958, 3.67769
2.196, 3.67797
2.1962, 3.67824
2.1964, 3.67852
2.1966, 3.6788
2.1968, 3.67908
2.197, 3.67935
2.1972, 3.67963
2.1974, 3.67991
2.1976, 3.68019
2.1978, 3.68046
2.198, 3.68074
2.1982, 3.68102
2.1984, 3.68129
2.1986, 3.68157
2.1988, 3.68185
2.199, 3.68213
2.1992, 3.6824
2.1994, 3.68268
2.1996, 3.68296
2.1998, 3.68324
2.2, 3.68351
2.2002, 3.68379
2.2004, 3.68407
2.2006, 3.68434
2.2008, 3.68462
2.201, 3.6849
2.2012, 3.68518
2.2014, 3.68545
2.2016, 3.68573
2.2018, 3.68601
2.202, 3.68628
2.2022, 3.68656
2.2024, 3.68684
2.2026, 3.68712
2.2028, 3.68739
2.203, 3.68767
2.2032, 3.68795
2.2034, 3.68822
2.2036, 3.6885
2.2038, 3.68878
2.204, 3.68906
2.2042, 3.68933
2.2044, 3.68961
2.2046, 3.68989
2.2048, 3.69016
2.205, 3.69044
2.2052, 3.69072
2.2054, 3.69099
2.2056, 3.69127
2.2058, 3.69155
2.206, 3.69182
2.2062, 3.6921
2.2064, 3.69238
2.2066, 3.69266
2.2068, 3.69293
2.207, 3.69321
2.2072, 3.69349
2.2074, 3.69376
2.2076, 3.69404
2.2078, 3.69432
2.208, 3.69459
2.2082, 3.69487
2.2084, 3.69515
2.2086, 3.69542
2.2088, 3.6957
2.209, 3.69598
2.2092, 3.69625
2.2094, 3.69653
2.2096, 3.69681
2.2098, 3.69709
2.21, 3.69736
2.2102, 3.69764
2.2104, 3.69792
2.2106, 3.69819
2.2108, 3.69847
2.211, 3.69875
2.2112, 3.69902
2.2114, 3.6993
2.2116, 3.69958
2.2118, 3.69985
2.212, 3.70013
2.2122, 3.70041
2.2124, 3.70068
2.2126, 3.70096
2.2128, 3.70124
2.213, 3.70151
2.2132, 3.70179
2.2134, 3.70207
2.2136, 3.70234
2.2138, 3.70262
2.214, 3.7029
2.2142, 3.70317
2.2144, 3.70345
2.2146, 3.70372
2.2148, 3.704
2.215, 3.70428
2.2152, 3.70455
2.2154, 3.70483
2.2156, 3.70511
2.2158, 3.70538
2.216, 3.70566
2.2162, 3.70594
2.2164, 3.70621
2.2166, 3.70649
2.2168, 3.70677
2.217, 3.70704
2.2172, 3.70732
2.2174, 3.7076
2.2176, 3.70787
2.2178, 3.70815
2.218, 3.70842
2.2182, 3.7087
2.2184, 3.70898
2.2186, 3.70925
2.2188, 3.70953
2.219, 3.70981
2.2192, 3.71008
2.2194, 3.71036
2.2196, 3.71064
2.2198, 3.71091
2.22, 3.71119
2.2202, 3.71146
2.2204, 3.71174
2.2206, 3.71202
2.2208, 3.71229
2.221, 3.71257
2.2212, 3.71285
2.2214, 3.71312
2.2216, 3.7134
2.2218, 3.71367
2.222, 3.71395
2.2222, 3.71423
2.2224, 3.7145
2.2226, 3.71478
2.2228, 3.71506
2.223, 3.71533
2.2232, 3.71561
2.2234, 3.71588
2.2236, 3.71616
2.2238, 3.71644
2.224, 3.71671
2.2242, 3.71699
2.2244, 3.71726
2.2246, 3.71754
2.2248, 3.71782
2.225, 3.71809
2.2252, 3.71837
2.2254, 3.71864
2.2256, 3.71892
2.2258, 3.7192
2.226, 3.71947
2.2262, 3.71975
2.2264, 3.72002
2.2266, 3.7203
2.2268, 3.72058
2.227, 3.72085
2.2272, 3.72113
2.2274, 3.7214
2.2276, 3.72168
2.2278, 3.72196
2.228, 3.72223
2.2282, 3.72251
2.2284, 3.72278
2.2286, 3.72306
2.2288, 3.72334
2.229, 3.72361
2.2292, 3.72389
2.2294, 3.72416
2.2296, 3.72444
2.2298, 3.72472
2.23, 3.72499
2.2302, 3.72527
2.2304, 3.72554
2.2306, 3.72582
2.2308, 3.72609
2.231, 3.72637
2.2312, 3.72665
2.2314, 3.72692
2.2316, 3.7272
2.2318, 3.72747
2.232, 3.72775
2.2322, 3.72802
2.2324, 3.7283
2.2326, 3.72858
2.2328, 3.72885
2.233, 3.72913
2.2332, 3.7294
2.2334, 3.72968
2.2336, 3.72995
2.2338, 3.73023
2.234, 3.73051
2.2342, 3.73078
2.2344, 3.73106
2.2346, 3.73133
2.2348, 3.73161
2.235, 3.73188
2.2352, 3.73216
2.2354, 3.73244
2.2356, 3.73271
2.2358, 3.73299
2.236, 3.73326
2.2362, 3.73354
2.2364, 3.73381
2.2366, 3.73409
2.2368, 3.73436
2.237, 3.73464
2.2372, 3.73492
2.2374, 3.73519
2.2376, 3.73547
2.2378, 3.73574
2.238, 3.73602
2.2382, 3.73629
2.2384, 3.73657
2.2386, 3.73684
2.2388, 3.73712
2.239, 3.73739
2.2392, 3.73767
2.2394, 3.73795
2.2396, 3.73822
2.2398, 3.7385
2.24, 3.73877
2.2402, 3.73905
2.2404, 3.73932
2.2406, 3.7396
2.2408, 3.73987
2.241, 3.74015
2.2412, 3.74042
2.2414, 3.7407
2.2416, 3.74097
2.2418, 3.74125
2.242, 3.74152
2.2422, 3.7418
2.2424, 3.74208
2.2426, 3.74235
2.2428, 3.74263
2.243, 3.7429
2.2432, 3.74318
2.2434, 3.74345
2.2436, 3.74373
2.2438, 3.744
2.244, 3.74428
2.2442, 3.74455
2.2444, 3.74483
2.2446, 3.7451
2.2448, 3.74538
2.245, 3.74565
2.2452, 3.74593
2.2454, 3.7462
2.2456, 3.74648
2.2458, 3.74675
2.246, 3.74703
2.2462, 3.7473
2.2464, 3.74758
2.2466, 3.74785
2.2468, 3.74813
2.247, 3.7484
2.2472, 3.74868
2.2474, 3.74895
2.2476, 3.74923
2.2478, 3.7495
2.248, 3.74978
2.2482, 3.75005
2.2484, 3.75033
2.2486, 3.7506
2.2488, 3.75088
2.249, 3.75115
2.2492, 3.75143
2.2494, 3.7517
2.2496, 3.75198
2.2498, 3.75225
2.25, 3.75253
2.2502, 3.7528
2.2504, 3.75308
2.2506, 3.75335
2.2508, 3.75363
2.251, 3.7539
2.2512, 3.75418
2.2514, 3.75445
2.2516, 3.75473
2.2518, 3.755
2.252, 3.75528
2.2522, 3.75555
2.2524, 3.75583
2.2526, 3.7561
2.2528, 3.75638
2.253, 3.75665
2.2532, 3.75693
2.2534, 3.7572
2.2536, 3.75748
2.2538, 3.75775
2.254, 3.75803
2.2542, 3.7583
2.2544, 3.75857
2.2546, 3.75885
2.2548, 3.75912
2.255, 3.7594
2.2552, 3.75967
2.2554, 3.75995
2.2556, 3.76022
2.2558, 3.7605
2.256, 3.76077
2.2562, 3.76105
2.2564, 3.76132
2.2566, 3.7616
2.2568, 3.76187
2.257, 3.76215
2.2572, 3.76242
2.2574, 3.76269
2.2576, 3.76297
2.2578, 3.76324
2.258, 3.76352
2.2582, 3.76379
2.2584, 3.76407
2.2586, 3.76434
2.2588, 3.76462
2.259, 3.76489
2.2592, 3.76517
2.2594, 3.76544
2.2596, 3.76571
2.2598, 3.76599
2.26, 3.76626
2.2602, 3.76654
2.2604, 3.76681
2.2606, 3.76709
2.2608, 3.76736
2.261, 3.76764
2.2612, 3.76791
2.2614, 3.76818
2.2616, 3.76846
2.2618, 3.76873
2.262, 3.76901
2.2622, 3.76928
2.2624, 3.76956
2.2626, 3.76983
2.2628, 3.7701
2.263, 3.77038
2.2632, 3.77065
2.2634, 3.77093
2.2636, 3.7712
2.2638, 3.77148
2.264, 3.77175
2.2642, 3.77202
2.2644, 3.7723
2.2646, 3.77257
2.2648, 3.77285
2.265, 3.77312
2.2652, 3.7734
2.2654, 3.77367
2.2656, 3.77394
2.2658, 3.77422
2.266, 3.77449
2.2662, 3.77477
2.2664, 3.77504
2.2666, 3.77532
2.2668, 3.77559
2.267, 3.77586
2.2672, 3.77614
2.2674, 3.77641
2.2676, 3.77669
2.2678, 3.77696
2.268, 3.77723
2.2682, 3.77751
2.2684, 3.77778
2.2686, 3.77806
2.2688, 3.77833
2.269, 3.7786
2.2692, 3.77888
2.2694, 3.77915
2.2696, 3.77943
2.2698, 3.7797
2.27, 3.77997
2.2702, 3.78025
2.2704, 3.78052
2.2706, 3.7808
2.2708, 3.78107
2.271, 3.78134
2.2712, 3.78162
2.2714, 3.78189
2.2716, 3.78217
2.2718, 3.78244
2.272, 3.78271
2.2722, 3.78299
2.2724, 3.78326
2.2726, 3.78354
2.2728, 3.78381
2.273, 3.78408
2.2732, 3.78436
2.2734, 3.78463
2.2736, 3.7849
2.2738, 3.78518
2.274, 3.78545
2.2742, 3.78573
2.2744, 3.786
2.2746, 3.78627
2.2748, 3.78655
2.275, 3.78682
2.2752, 3.7871
2.2754, 3.78737
2.2756, 3.78764
2.2758, 3.78792
2.276, 3.78819
2.2762, 3.78846
2.2764, 3.78874
2.2766, 3.78901
2.2768, 3.78929
2.277, 3.78956
2.2772, 3.78983
2.2774, 3.79011
2.2776, 3.79038
2.2778, 3.79065
2.278, 3.79093
2.2782, 3.7912
2.2784, 3.79147
2.2786, 3.79175
2.2788, 3.79202
2.279, 3.7923
2.2792, 3.79257
2.2794, 3.79284
2.2796, 3.79312
2.2798, 3.79339
2.28, 3.79366
2.2802, 3.79394
2.2804, 3.79421
2.2806, 3.79448
2.2808, 3.79476
2.281, 3.79503
2.2812, 3.7953
2.2814, 3.79558
2.2816, 3.79585
2.2818, 3.79612
2.282, 3.7964
2.2822, 3.79667
2.2824, 3.79694
2.2826, 3.79722
2.2828, 3.79749
2.283, 3.79777
2.2832, 3.79804
2.2834, 3.79831
2.2836, 3.79859
2.2838, 3.79886
2.284, 3.79913
2.2842, 3.79941
2.2844, 3.79968
2.2846, 3.79995
2.2848, 3.80023
2.285, 3.8005
2.2852, 3.80077
2.2854, 3.80105
2.2856, 3.80132
2.2858, 3.80159
2.286, 3.80187
2.2862, 3.80214
2.2864, 3.80241
2.2866, 3.80269
2.2868, 3.80296
2.287, 3.80323
2.2872, 3.8035
2.2874, 3.80378
2.2876, 3.80405
2.2878, 3.80432
2.288, 3.8046
2.2882, 3.80487
2.2884, 3.80514
2.2886, 3.80542
2.2888, 3.80569
2.289, 3.80596
2.2892, 3.80624
2.2894, 3.80651
2.2896, 3.80678
2.2898, 3.80706
2.29, 3.80733
2.2902, 3.8076
2.2904, 3.80788
2.2906, 3.80815
2.2908, 3.80842
2.291, 3.80869
2.2912, 3.80897
2.2914, 3.80924
2.2916, 3.80951
2.2918, 3.80979
2.292, 3.81006
2.2922, 3.81033
2.2924, 3.81061
2.2926, 3.81088
2.2928, 3.81115
2.293, 3.81142
2.2932, 3.8117
2.2934, 3.81197
2.2936, 3.81224
2.2938, 3.81252
2.294, 3.81279
2.2942, 3.81306
2.2944, 3.81333
2.2946, 3.81361
2.2948, 3.81388
2.295, 3.81415
2.2952, 3.81443
2.2954, 3.8147
2.2956, 3.81497
2.2958, 3.81524
2.296, 3.81552
2.2962, 3.81579
2.2964, 3.81606
2.2966, 3.81634
2.2968, 3.81661
2.297, 3.81688
2.2972, 3.81715
2.2974, 3.81743
2.2976, 3.8177
2.2978, 3.81797
2.298, 3.81825
2.2982, 3.81852
2.2984, 3.81879
2.2986, 3.81906
2.2988, 3.81934
2.299, 3.81961
2.2992, 3.81988
2.2994, 3.82015
2.2996, 3.82043
2.2998, 3.8207
2.3, 3.82097
2.3002, 3.82124
2.3004, 3.82152
2.3006, 3.82179
2.3008, 3.82206
2.301, 3.82234
2.3012, 3.82261
2.3014, 3.82288
2.3016, 3.82315
2.3018, 3.82343
2.302, 3.8237
2.3022, 3.82397
2.3024, 3.82424
2.3026, 3.82452
2.3028, 3.82479
2.303, 3.82506
2.3032, 3.82533
2.3034, 3.82561
2.3036, 3.82588
2.3038, 3.82615
2.304, 3.82642
2.3042, 3.8267
2.3044, 3.82697
2.3046, 3.82724
2.3048, 3.82751
2.305, 3.82779
2.3052, 3.82806
2.3054, 3.82833
2.3056, 3.8286
2.3058, 3.82887
2.306, 3.82915
2.3062, 3.82942
2.3064, 3.82969
2.3066, 3.82996
2.3068, 3.83024
2.307, 3.83051
2.3072, 3.83078
2.3074, 3.83105
2.3076, 3.83133
2.3078, 3.8316
2.308, 3.83187
2.3082, 3.83214
2.3084, 3.83241
2.3086, 3.83269
2.3088, 3.83296
2.309, 3.83323
2.3092, 3.8335
2.3094, 3.83378
2.3096, 3.83405
2.3098, 3.83432
2.31, 3.83459
2.3102, 3.83486
2.3104, 3.83514
2.3106, 3.83541
2.3108, 3.83568
