Values, R:100000C:6e-05E:12
Time,Vc
0.0546, 0.108705
0.0548, 0.109101
0.055, 0.109497
0.0552, 0.109894
0.0554, 0.11029
0.0556, 0.110686
0.0558, 0.111083
0.056, 0.111479
0.0562, 0.111875
0.0564, 0.112271
0.0566, 0.112668
0.0568, 0.113064
0.057, 0.11346
0.0572, 0.113856
0.0574, 0.114253
0.0576, 0.114649
0.0578, 0.115045
0.058, 0.115441
0.0582, 0.115837
0.0584, 0.116233
0.0586, 0.11663
0.0588, 0.117026
0.059, 0.117422
0.0592, 0.117818
0.0594, 0.118214
0.0596, 0.11861
0.0598, 0.119006
0.06, 0.119402
0.0602, 0.119798
0.0604, 0.120194
0.0606, 0.12059
0.0608, 0.120986
0.061, 0.121382
0.0612, 0.121778
0.0614, 0.122174
0.0616, 0.12257
0.0618, 0.122966
0.062, 0.123362
0.0622, 0.123757
0.0624, 0.124153
0.0626, 0.124549
0.0628, 0.124945
0.063, 0.125341
0.0632, 0.125737
0.0634, 0.126132
0.0636, 0.126528
0.0638, 0.126924
0.064, 0.12732
0.0642, 0.127716
0.0644, 0.128111
0.0646, 0.128507
0.0648, 0.128903
0.065, 0.129298
0.0652, 0.129694
0.0654, 0.13009
0.0656, 0.130485
0.0658, 0.130881
0.066, 0.131277
0.0662, 0.131672
0.0664, 0.132068
0.0666, 0.132463
0.0668, 0.132859
0.067, 0.133255
0.0672, 0.13365
0.0674, 0.134046
0.0676, 0.134441
0.0678, 0.134837
0.068, 0.135232
0.0682, 0.135628
0.0684, 0.136023
0.0686, 0.136419
0.0688, 0.136814
0.069, 0.13721
0.0692, 0.137605
0.0694, 0.138
0.0696, 0.138396
0.0698, 0.138791
0.07, 0.139187
0.0702, 0.139582
0.0704, 0.139977
0.0706, 0.140373
0.0708, 0.140768
0.071, 0.141163
0.0712, 0.141558
0.0714, 0.141954
0.0716, 0.142349
0.0718, 0.142744
0.072, 0.143139
0.0722, 0.143535
0.0724, 0.14393
0.0726, 0.144325
0.0728, 0.14472
0.073, 0.145115
0.0732, 0.145511
0.0734, 0.145906
0.0736, 0.146301
0.0738, 0.146696
0.074, 0.147091
0.0742, 0.147486
0.0744, 0.147881
0.0746, 0.148276
0.0748, 0.148671
0.075, 0.149066
0.0752, 0.149461
0.0754, 0.149856
0.0756, 0.150251
0.0758, 0.150646
0.076, 0.151041
0.0762, 0.151436
0.0764, 0.151831
0.0766, 0.152226
0.0768, 0.152621
0.077, 0.153016
0.0772, 0.153411
0.0774, 0.153806
0.0776, 0.154201
0.0778, 0.154596
0.078, 0.15499
0.0782, 0.155385
0.0784, 0.15578
0.0786, 0.156175
0.0788, 0.15657
0.079, 0.156964
0.0792, 0.157359
0.0794, 0.157754
0.0796, 0.158149
0.0798, 0.158543
0.08, 0.158938
0.0802, 0.159333
0.0804, 0.159727
0.0806, 0.160122
0.0808, 0.160517
0.081, 0.160911
0.0812, 0.161306
0.0814, 0.161701
0.0816, 0.162095
0.0818, 0.16249
0.082, 0.162884
0.0822, 0.163279
0.0824, 0.163674
0.0826, 0.164068
0.0828, 0.164463
0.083, 0.164857
0.0832, 0.165252
0.0834, 0.165646
0.0836, 0.166041
0.0838, 0.166435
0.084, 0.166829
0.0842, 0.167224
0.0844, 0.167618
0.0846, 0.168013
0.0848, 0.168407
0.085, 0.168801
0.0852, 0.169196
0.0854, 0.16959
0.0856, 0.169985
0.0858, 0.170379
0.086, 0.170773
0.0862, 0.171168
0.0864, 0.171562
0.0866, 0.171956
0.0868, 0.17235
0.087, 0.172745
0.0872, 0.173139
0.0874, 0.173533
0.0876, 0.173927
0.0878, 0.174321
0.088, 0.174716
0.0882, 0.17511
0.0884, 0.175504
0.0886, 0.175898
0.0888, 0.176292
0.089, 0.176686
0.0892, 0.17708
0.0894, 0.177475
0.0896, 0.177869
0.0898, 0.178263
0.09, 0.178657
0.0902, 0.179051
0.0904, 0.179445
0.0906, 0.179839
0.0908, 0.180233
0.091, 0.180627
0.0912, 0.181021
0.0914, 0.181415
0.0916, 0.181809
0.0918, 0.182203
0.092, 0.182597
0.0922, 0.18299
0.0924, 0.183384
0.0926, 0.183778
0.0928, 0.184172
0.093, 0.184566
0.0932, 0.18496
0.0934, 0.185354
0.0936, 0.185747
0.0938, 0.186141
0.094, 0.186535
0.0942, 0.186929
0.0944, 0.187323
0.0946, 0.187716
0.0948, 0.18811
0.095, 0.188504
0.0952, 0.188897
0.0954, 0.189291
0.0956, 0.189685
0.0958, 0.190079
0.096, 0.190472
0.0962, 0.190866
0.0964, 0.191259
0.0966, 0.191653
0.0968, 0.192047
0.097, 0.19244
0.0972, 0.192834
0.0974, 0.193227
0.0976, 0.193621
0.0978, 0.194014
0.098, 0.194408
0.0982, 0.194802
0.0984, 0.195195
0.0986, 0.195589
0.0988, 0.195982
0.099, 0.196375
0.0992, 0.196769
0.0994, 0.197162
0.0996, 0.197556
0.0998, 0.197949
0.1, 0.198343
0.1002, 0.198736
0.1004, 0.199129
0.1006, 0.199523
0.1008, 0.199916
0.101, 0.200309
0.1012, 0.200703
0.1014, 0.201096
0.1016, 0.201489
0.1018, 0.201883
0.102, 0.202276
0.1022, 0.202669
0.1024, 0.203062
